user_id,signup_date,trial_start_date,trial_end_date,converted_date,plan,mrr,churned_date,acquisition_channel,company_size
USR-001,2025-07-01,2025-07-01,2025-07-15,2025-07-16,pro,99,2025-10-20,organic,11-50
USR-002,2025-07-03,2025-07-03,2025-07-17,,,,organic,1-10
USR-003,2025-07-05,2025-07-05,2025-07-19,2025-07-20,starter,29,,paid_search,1-10
USR-004,2025-07-08,2025-07-08,2025-07-22,2025-07-23,enterprise,499,,sales,201-500
USR-005,2025-07-10,2025-07-10,2025-07-24,,,,organic,51-200
USR-006,2025-07-12,2025-07-12,2025-07-26,2025-07-27,pro,99,2025-11-15,referral,11-50
USR-007,2025-07-15,2025-07-15,2025-07-29,2025-07-30,starter,29,,paid_social,1-10
USR-008,2025-07-18,2025-07-18,2025-08-01,2025-08-02,pro,99,,paid_search,51-200
USR-009,2025-07-21,2025-07-21,2025-08-04,,,,organic,1-10
USR-010,2025-07-24,2025-07-24,2025-08-07,2025-08-08,enterprise,499,,sales,201-500
USR-011,2025-08-01,2025-08-01,2025-08-15,2025-08-16,starter,29,2025-10-01,organic,1-10
USR-012,2025-08-04,2025-08-04,2025-08-18,2025-08-19,pro,99,,referral,11-50
USR-013,2025-08-07,2025-08-07,2025-08-21,,,,paid_search,51-200
USR-014,2025-08-10,2025-08-10,2025-08-24,2025-08-25,enterprise,499,,sales,501+
USR-015,2025-08-13,2025-08-13,2025-08-27,2025-08-28,starter,29,,organic,1-10
USR-016,2025-08-16,2025-08-16,2025-08-30,2025-08-31,pro,99,2025-12-01,paid_social,11-50
USR-017,2025-08-20,2025-08-20,2025-09-03,,,,organic,1-10
USR-018,2025-08-23,2025-08-23,2025-09-06,2025-09-07,pro,99,,referral,51-200
USR-019,2025-09-01,2025-09-01,2025-09-15,2025-09-16,enterprise,499,,sales,201-500
USR-020,2025-09-04,2025-09-04,2025-09-18,,,,paid_search,1-10
USR-021,2025-09-07,2025-09-07,2025-09-21,2025-09-22,starter,29,,organic,1-10
USR-022,2025-09-10,2025-09-10,2025-09-24,2025-09-25,pro,99,,paid_social,11-50
USR-023,2025-09-13,2025-09-13,2025-09-27,,,,organic,51-200
USR-024,2025-09-16,2025-09-16,2025-09-30,2025-10-01,enterprise,499,,sales,501+
USR-025,2025-09-20,2025-09-20,2025-10-04,2025-10-05,starter,29,2025-12-15,referral,1-10
USR-026,2025-10-01,2025-10-01,2025-10-15,2025-10-16,pro,99,,organic,11-50
USR-027,2025-10-05,2025-10-05,2025-10-19,,,,paid_search,1-10
USR-028,2025-10-09,2025-10-09,2025-10-23,2025-10-24,enterprise,499,,sales,201-500
USR-029,2025-10-13,2025-10-13,2025-10-27,2025-10-28,starter,29,,organic,1-10
USR-030,2025-10-17,2025-10-17,2025-10-31,2025-11-01,pro,99,,referral,51-200
USR-031,2025-11-01,2025-11-01,2025-11-15,2025-11-16,pro,99,,paid_search,11-50
USR-032,2025-11-05,2025-11-05,2025-11-19,,,,organic,1-10
USR-033,2025-11-09,2025-11-09,2025-11-23,2025-11-24,enterprise,499,,sales,501+
USR-034,2025-11-13,2025-11-13,2025-11-27,2025-11-28,starter,29,,paid_social,1-10
USR-035,2025-11-17,2025-11-17,2025-12-01,2025-12-02,pro,99,,referral,51-200
